Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-25,British Film History,,https://boxd.it/IdXxG,"A journey through British Film History, from black-and-white silent films until the present!

This list contains famous masterpieces, as well as influential films from relative unknown directors. The list is currently incomplete, and will be completed over the course of the year.

The films aren't in any particular order and will be ordered into categories according to the following list.

1 - x | Silent Era

Favourite Directors:
1.
2.
3.
4.
5.

Favourite Films:
1.
2.
3.
4.
5."

Position,Name,Year,URL,Description
1,The Derby,1896,https://boxd.it/5tj6,
2,Rescued by Rover,1905,https://boxd.it/3ife,
3,The '?' Motorist,1906,https://boxd.it/4is0,
4,The Battle of the Somme,1916,https://boxd.it/VCU,
5,The Lodger: A Story of the London Fog,1927,https://boxd.it/26m6,
6,Blackmail,1929,https://boxd.it/2aao,
7,A Daring Daylight Burglary,1903,https://boxd.it/5u7g,
8,The Ring,1927,https://boxd.it/1br4,
9,Cocaine,1922,https://boxd.it/jFky,
10,Alice in Wonderland,1903,https://boxd.it/ZLm,
11,The First Born,1928,https://boxd.it/3m9O,
12,The Epic of Everest,1924,https://boxd.it/6sEk,
13,The Rat,1925,https://boxd.it/7E1w,
14,Downhill,1927,https://boxd.it/y9g,
15,Piccadilly,1929,https://boxd.it/Cce,
16,East Is East,1916,https://boxd.it/9xSs,
17,The Lure of Crooning Water,1920,https://boxd.it/7EU2,
18,Sam's Boy,1922,https://boxd.it/jZKw,
19,The Great White Silence,1924,https://boxd.it/2ZC4,
20,Hindle Wakes,1927,https://boxd.it/46IA,
21,The Informer,1929,https://boxd.it/5Mmy,
22,A Cottage on Dartmoor,1929,https://boxd.it/3irE,
23,Shooting Stars,1928,https://boxd.it/6AHc,
24,Underground,1928,https://boxd.it/25ck,
25,High Treason,1929,https://boxd.it/4biC,
26,The Life Story of David Lloyd George,1918,https://boxd.it/4MkU,
27,Fox Farm,1922,https://boxd.it/nhKg,
28,The Wrecker,1929,https://boxd.it/6kqY,
29,Lady Windermere's Fan,1916,https://boxd.it/7U18,
30,The Sign of Four,1923,https://boxd.it/aaiy,
