Date,Name,Year,Letterboxd URI
2022-12-01,Pather Panchali,1955,https://boxd.it/22yC
2022-12-01,Taste of Cherry,1997,https://boxd.it/1m8W
2022-12-13,Alienoid,2022,https://boxd.it/mcNs
2022-12-13,Inside Llewyn Davis,2013,https://boxd.it/34Ro
2022-12-13,Birdman,2015,https://boxd.it/frqO
2022-12-21,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW
2022-12-23,The Deer Hunter,1978,https://boxd.it/1T6O
2022-12-24,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk
2022-12-25,The Girl with the Red Scarf,1977,https://boxd.it/1ja6
2022-12-25,Innocence,1997,https://boxd.it/1j9W
2022-12-25,Motherland Hotel,1987,https://boxd.it/3krG
2022-12-25,The Road,1982,https://boxd.it/yGY
2023-01-15,Close,2022,https://boxd.it/y4qa
2023-01-17,Who Killed Captain Alex?,2010,https://boxd.it/adJ8
2023-02-20,Unknown Soldier,2017,https://boxd.it/e4M6
2023-02-20,The Unknown Soldier,1985,https://boxd.it/ZWk
2023-04-12,The Conformist,1970,https://boxd.it/20cE
2023-04-12,The Thing,1982,https://boxd.it/294O
2023-04-12,The Last Emperor,1987,https://boxd.it/29Ji
2023-04-12,3 Idiots,2009,https://boxd.it/1Dsa
2023-04-12,Ichi the Killer,2001,https://boxd.it/1Y1O
2023-04-14,About Dry Grasses,2023,https://boxd.it/oNbO
2023-04-14,Fallen Leaves,2023,https://boxd.it/Bgew
2023-04-18,12 Angry Men,1957,https://boxd.it/2auI
2023-05-21,Her,2013,https://boxd.it/4O24
2023-06-12,Tokyo: Level One,2004,https://boxd.it/vmoU
2023-08-06,Prisoners,2013,https://boxd.it/4E5i
2023-08-13,The Eight Mountains,2022,https://boxd.it/ufRe
2023-09-15,Afire,2023,https://boxd.it/y06K
2023-11-13,American Animals,2018,https://boxd.it/hE4K
2024-10-26,Jeong-sun,2022,https://boxd.it/A7Nq
2024-12-08,The Spirit of the Beehive,1973,https://boxd.it/24eY
2024-12-08,The Tragedy of Macbeth,2021,https://boxd.it/lMi4
2024-12-08,La Chimera,2023,https://boxd.it/vzVi
2024-12-08,Jason and the Argonauts,1963,https://boxd.it/1TCK
2024-12-15,The Iron Claw,2023,https://boxd.it/w5Pm
2025-03-09,The Beauty Inside,2015,https://boxd.it/bfC6
2025-03-31,Dream Scenario,2023,https://boxd.it/v2h0
