Date,Name,Year,Letterboxd URI,Rating
2022-11-30,The Eel,1997,https://boxd.it/1Dna,4.5
2022-11-30,The Ceremony,1971,https://boxd.it/3hWQ,4
2022-11-30,Boy,1969,https://boxd.it/3xKQ,3.5
2022-11-30,The Ballad of Narayama,1983,https://boxd.it/XI6,4.5
2022-11-30,Black Rain,1989,https://boxd.it/5DMs,4.5
2022-11-30,Death by Hanging,1968,https://boxd.it/3nPm,4.5
2022-11-30,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4.5
2022-11-30,See How They Run,2022,https://boxd.it/sNVq,3
2022-11-30,Diary of a Shinjuku Thief,1969,https://boxd.it/3ywg,2
2022-11-30,A Man Vanishes,1967,https://boxd.it/322S,4
2022-11-30,Why Not?,1981,https://boxd.it/XDg,2.5
2022-11-30,Seven Samurai,1954,https://boxd.it/2axi,4.5
2022-11-30,Tokyo Story,1953,https://boxd.it/1HuY,4.5
2022-11-30,My Brother Loves Me Too Much,2017,https://boxd.it/gEZE,0.5
2022-12-01,Joker,2019,https://boxd.it/h4cS,4
2022-12-01,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2022-12-01,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4
2022-12-01,Airplane!,1980,https://boxd.it/29yu,4
2022-12-01,Aladdin,1992,https://boxd.it/29yE,4.5
2022-12-01,The Prince of Egypt,1998,https://boxd.it/1XGQ,4.5
2022-12-01,Tigers Are Not Afraid,2017,https://boxd.it/bIww,4
2022-12-01,The Truman Show,1998,https://boxd.it/18U8,4.5
2022-12-01,Nightcrawler,2014,https://boxd.it/780m,4
2022-12-04,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,1
2022-12-04,Amsterdam,2022,https://boxd.it/oJ58,1
2022-12-04,Hannah Montana: The Movie,2009,https://boxd.it/1Hx4,2.5
2022-12-08,The Menu,2022,https://boxd.it/lScm,3
2022-12-09,The Man Without a Past,2002,https://boxd.it/212g,4.5
2022-12-13,Léon: The Professional,1994,https://boxd.it/2b8S,4.5
2022-12-13,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,4
2022-12-15,The Last Airbender,2010,https://boxd.it/1WQK,0.5
2022-12-21,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2023-01-17,Fucking Bunnies,2017,https://boxd.it/fxas,4
2023-01-27,Babylon,2022,https://boxd.it/mM02,4
2023-01-31,Shadows in Paradise,1986,https://boxd.it/73A,4.5
2023-02-01,The Fabelmans,2022,https://boxd.it/ugoM,3
2023-02-03,TÁR,2022,https://boxd.it/uNIA,4
2023-02-23,Aftersun,2022,https://boxd.it/Arw0,4.5
2023-03-16,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
